ACEH	1	ACEH SELATAN	2	prabowo-hatta	LABUHAN HAJI	3351
ACEH	1	ACEH SELATAN	2	jokowi-jk	LABUHAN HAJI	2664
ACEH	1	ACEH SELATAN	2	prabowo-hatta	KLUET SELATAN	2779
ACEH	1	ACEH SELATAN	2	jokowi-jk	KLUET SELATAN	3259
ACEH	1	ACEH SELATAN	2	prabowo-hatta	KLUET UTARA	5194
ACEH	1	ACEH SELATAN	2	jokowi-jk	KLUET UTARA	5108
ACEH	1	ACEH SELATAN	2	prabowo-hatta	TRUMON TENGAH	1392
ACEH	1	ACEH SELATAN	2	jokowi-jk	TRUMON TENGAH	1283
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	PULAU BANYAK	838
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	PULAU BANYAK	574
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	KUALA BARU	569
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	KUALA BARU	413
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	SINGKOHOR	1795
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	SINGKOHOR	1135
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	SURO MAKMUR	1233
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	SURO MAKMUR	1698
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	DANAU PARIS	1054
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	DANAU PARIS	1273
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	SINGKIL UTARA	2008
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	SINGKIL UTARA	1810
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	KOTA BAHARU	1627
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	KOTA BAHARU	1031
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	GUNUNG MERIAH	9059
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	GUNUNG MERIAH	5549
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	SINGKIL	4907
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	SINGKIL	2480
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	SIMPANG KANAN	3821
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	SIMPANG KANAN	2613
ACEH	1	ACEH SINGKIL	4233	prabowo-hatta	PULAU BANYAK BARAT	370
ACEH	1	ACEH SINGKIL	4233	jokowi-jk	PULAU BANYAK BARAT	654
ACEH	1	ACEH TAMIANG	5694	prabowo-hatta	MANYAK PAYED	7261
ACEH	1	ACEH TAMIANG	5694	jokowi-jk	MANYAK PAYED	4187
